symbol,ex_date,dividend_per_share,status,traded_on_ex_date,isin,subject,raw_file
HINDUNILVR,2021-06-14,17.0,OK,True,INE030A01027,Annual General Meeting/Dividend - Rs 17 Per Sh,data/raw/corporate_actions/nse_api/HINDUNILVR/2020-09-30_2021-09-29.json
SHRIRAMFIN,2021-06-16,6.0,OK,False,INE721A01013,Annual General Meeting/Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/SHRIRAMFIN/2020-09-30_2021-09-29.json
TATASTEEL,2021-06-17,25.0,OK,True,INE081A01012,Annual General Meeting/Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/TATASTEEL/2020-09-30_2021-09-29.json
ADANIPORTS,2021-06-24,5.0,OK,True,INE742F01042,Dividend - Rs 5 Per Sh,data/raw/corporate_actions/nse_api/ADANIPORTS/2020-09-30_2021-09-29.json
HDFCBANK,2021-06-29,6.5,OK,True,INE040A01018,Dividend - Rs 6.50 Per Share,data/raw/corporate_actions/nse_api/HDFCBANK/2020-09-30_2021-09-29.json
HDFCLIFE,2021-06-30,2.02,OK,True,INE795G01014,Dividend - Rs 2.02 Per Sh,data/raw/corporate_actions/nse_api/HDFCLIFE/2020-09-30_2021-09-29.json
ADANIENT,2021-07-01,1.0,OK,True,INE423A01024,Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/ADANIENT/2020-09-30_2021-09-29.json
LTIM,2021-07-01,25.0,OK,False,INE214T01019,Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/LTM/2020-09-30_2021-09-29.json
JSWSTEEL,2021-07-05,6.5,OK,True,INE019A01020,Annual General Meeting/Dividend - Rs 6.50 Per Share,data/raw/corporate_actions/nse_api/JSWSTEEL/2020-09-30_2021-09-29.json
BAJAJ-AUTO,2021-07-08,140.0,OK,True,INE917I01010,Annual General Meeting/Dividend - Rs 140 Per Share,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2020-09-30_2021-09-29.json
BAJAJFINSV,2021-07-08,3.0,OK,True,INE918I01018,Annual General Meeting/Dividend - Rs 3 Per Share,data/raw/corporate_actions/nse_api/BAJAJFINSV/2020-09-30_2021-09-29.json
BAJFINANCE,2021-07-08,10.0,OK,True,INE296A01016,Annual General Meeting/Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/BAJFINANCE/2020-09-30_2021-09-29.json
DRREDDY,2021-07-09,25.0,OK,True,INE089A01023,Annual General Meeting/Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/DRREDDY/2020-09-30_2021-09-29.json
TRENT,2021-07-09,0.6,OK,True,INE849A01012,Annual General Meeting/Dividend - Re 0.60 Per Share,data/raw/corporate_actions/nse_api/TRENT/2020-09-30_2021-09-29.json
UPL,2021-07-14,10.0,OK,True,INE628A01036,Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/UPL/2020-09-30_2021-09-29.json
M&M,2021-07-15,8.75,OK,True,INE101A01026,Annual General Meeting/Dividend - Rs 8.75 Per Share,data/raw/corporate_actions/nse_api/M&M/2020-09-30_2021-09-29.json
TCS,2021-07-15,7.0,OK,True,INE467B01029,Interim Dividend - Rs 7 Per Share,data/raw/corporate_actions/nse_api/TCS/2020-09-30_2021-09-29.json
HEROMOTOCO,2021-07-22,35.0,OK,True,INE158A01026,Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/HEROMOTOCO/2020-09-30_2021-09-29.json
SHREECEM,2021-07-22,60.0,OK,True,INE070A01015,Dividend - Rs 60 Per Share,data/raw/corporate_actions/nse_api/SHREECEM/2020-09-30_2021-09-29.json
TITAN,2021-07-22,4.0,OK,True,INE280A01010,Annual General Meeting/Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/TITAN/2020-09-30_2021-09-29.json
TECHM,2021-07-23,30.0,OK,True,INE669C01028,Annual General Meeting/Dividend - Rs 15 Per Share Special Dividend 15 Per Share,data/raw/corporate_actions/nse_api/TECHM/2020-09-30_2021-09-29.json
HCLTECH,2021-07-27,6.0,OK,True,INE860A01027,Interim Dividend - Rs 6 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2020-09-30_2021-09-29.json
